frame_number,subframe_number,time_cpu_cycles,guide_freq,vme_guide_freq,coarse_freq,runner_up_freq,fine_freq,tracked_freq,coarse_peak_mag,runner_up_peak_mag,fine_peak_mag,tracked_peak_mag,signal_power,competition_ratio,guide_vme_gap_hz,coarse_fine_gap_hz,tracked_fine_gap_hz,vme_last_rel_err,estimate_seq,inter_frame_proc_time_usec,inter_frame_proc_margin_usec,tx_write_time_usec,tx_overwrite_count,vme_iterations,track_selected,step_limited,valid
697,0,1451536806,1.2763819694519043,1.3000000715255737,1.3015074729919434,1.3316582441329956,1.2953624725341797,1.299911379814148,13.740724563598633,2.8767547607421875,13.789840698242188,13.789840698242188,0.000689478765707463,0.20935975015163422,0.023618102073669434,0.006145000457763672,0.004548907279968262,6.586184042589593e-08,30,4814,31767,2131,0,4,1,1,1
707,0,1551527566,1.2713568210601807,1.25,1.2512562274932861,1.2814069986343384,1.2803624868392944,1.250550389289856,16.990005493164062,3.80285382270813,17.007963180541992,17.007963180541992,0.0008503251010552049,0.22382888197898865,0.021356821060180664,0.0291062593460083,0.029812097549438477,9.46333122975318e-10,31,4873,31768,2131,0,4,1,1,1
717,0,1651511485,1.266331672668457,1.2500001192092896,1.2512562274932861,1.2814069986343384,1.2653625011444092,1.2499865293502808,24.445636749267578,5.357344627380371,24.491077423095703,24.491077423095703,0.0012245567049831152,0.21915340423583984,0.01633155345916748,0.014106273651123047,0.015375971794128418,1.5191183422302856e-08,32,4941,31679,2131,0,3,1,1,1
727,0,1751484673,1.266331672668457,1.25,1.2512562274932861,1.2814069986343384,1.250362515449524,1.2494226694107056,22.484352111816406,4.774904727935791,22.55733871459961,22.55733871459961,0.0011277904268354177,0.21236568689346313,0.01633167266845703,0.000893712043762207,0.0009398460388183594,1.8504183074696812e-08,33,4857,31747,2131,0,3,1,1,1
737,0,1851471958,1.266331672668457,1.25,1.2512562274932861,1.2814069986343384,1.2500617504119873,1.2500617504119873,22.95789337158203,4.983391284942627,23.009763717651367,23.009763717651367,0.001150498865172267,0.21706657111644745,0.01633167266845703,0.0011944770812988281,0.0,1.8967261539160063e-08,34,4837,31724,2131,0,3,1,0,1
747,0,1951476069,1.2562813758850098,1.25,1.2512562274932861,1.2814069986343384,1.250362515449524,1.250362515449524,21.41555404663086,4.794745445251465,21.43920135498047,21.43920135498047,0.0010717952391132712,0.22389079630374908,0.006281375885009766,0.000893712043762207,0.0,3.9342284985366405e-10,35,4854,31723,2131,0,3,1,0,1
757,0,2051533369,1.2713568210601807,1.25,1.2512562274932861,1.2814069986343384,1.2500617504119873,1.2500617504119873,17.13442039489746,3.7306344509124756,17.17123794555664,17.17123794555664,0.0008585653267800808,0.21772749722003937,0.021356821060180664,0.0011944770812988281,0.0,8.211931135093664e-10,36,5012,31705,2131,0,4,1,0,1
767,0,2151514443,1.2814069986343384,1.3000000715255737,1.3015074729919434,1.3316582441329956,1.2650617361068726,1.2996858358383179,15.27351188659668,3.1996498107910156,15.32745361328125,15.32745361328125,0.0007663864525966346,0.2094901204109192,0.01859307289123535,0.0364457368850708,0.03462409973144531,6.500095537376183e-07,37,4890,31739,2131,0,3,1,1,1
777,0,2251500231,1.2914572954177856,1.3000000715255737,1.3015074729919434,1.3316582441329956,1.2800617218017578,1.300249695777893,20.369491577148438,4.4227447509765625,20.406944274902344,20.406944274902344,0.0010202188277617097,0.21712592244148254,0.008542776107788086,0.021445751190185547,0.020187973976135254,1.3011022259590277e-09,38,4786,31739,2131,0,3,1,1,1
787,0,2351542924,1.2964824438095093,1.3000000715255737,1.3015074729919434,1.3316582441329956,1.295061707496643,1.2996106147766113,21.009262084960938,4.41422176361084,21.078304290771484,21.078304290771484,0.0010540223447605968,0.21010836958885193,0.003517627716064453,0.006445765495300293,0.004548907279968262,8.717232491406435e-11,39,4938,31684,2131,0,3,1,1,1
797,0,2451564416,1.3115577697753906,1.3000000715255737,1.3015074729919434,1.3316582441329956,1.2995729446411133,1.2995729446411133,20.1912841796875,4.183991432189941,20.275035858154297,20.275035858154297,0.0010136846685782075,0.20721769332885742,0.011557698249816895,0.0019345283508300781,0.0,4.2853900983352844e-10,40,4998,31679,2131,0,3,1,0,1
807,0,2551569213,1.306532621383667,1.3000000715255737,1.3015074729919434,1.3316582441329956,1.3004752397537231,1.3004752397537231,25.371824264526367,5.482397556304932,25.422340393066406,25.422340393066406,0.0012710681185126305,0.2160821259021759,0.006532549858093262,0.0010322332382202148,0.0,1.0018252893928548e-10,41,5005,31700,2131,0,3,1,0,1
817,0,2651551240,1.3115577697753906,1.3000000715255737,1.3015074729919434,1.3316582441329956,1.3001744747161865,1.3001744747161865,26.652938842773438,5.681764602661133,26.72344970703125,26.72344970703125,0.0013361716410145164,0.2131759077310562,0.011557698249816895,0.001332998275756836,0.0,2.403037768772265e-10,42,4919,31756,2131,0,3,1,0,1
827,0,2751545917,1.3115577697753906,1.3000000715255737,1.3015074729919434,1.3316582441329956,1.29987370967865,1.29987370967865,27.029125213623047,5.575821399688721,27.147258758544922,27.147258758544922,0.0013572550378739834,0.2062893807888031,0.011557698249816895,0.001633763313293457,0.0,1.7633541848915968e-10,43,4904,31822,2131,0,3,1,0,1
837,0,2851566895,1.3115577697753906,1.3000000715255737,1.3015074729919434,1.3316582441329956,1.3001744747161865,1.3001744747161865,20.341602325439453,4.334630489349365,20.395912170410156,20.395912170410156,0.001019799499772489,0.2130918949842453,0.011557698249816895,0.001332998275756836,0.0,4.341234871585442e-10,44,4997,31678,2131,0,3,1,0,1
847,0,2951661376,1.3115577697753906,1.3000000715255737,1.3015074729919434,1.3316582441329956,1.3004752397537231,1.3004752397537231,32.68866729736328,7.0689592361450195,32.75260543823242,32.75260543823242,0.0016375395935028791,0.21625107526779175,0.011557698249816895,0.0010322332382202148,0.0,1.738978544496561e-10,45,5382,31168,2135,0,3,1,0,1
857,0,3051611883,1.2311557531356812,1.2500001192092896,1.2512562274932861,1.2814069986343384,1.285475254058838,1.2496482133865356,19.600467681884766,4.178580284118652,19.659881591796875,19.659881591796875,0.0009829135378822684,0.2131877839565277,0.0188443660736084,0.03421902656555176,0.035827040672302246,6.49668763230693e-08,46,5322,31238,2131,0,3,1,1,1
867,0,3151585675,1.3015074729919434,1.3000000715255737,1.3015074729919434,1.3316582441329956,1.2996106147766113,1.2996106147766113,45.71868896484375,9.591381072998047,45.87163543701172,45.87163543701172,0.002293786033987999,0.20979125797748566,0.001507401466369629,0.0018968582153320312,0.0,1.3422073348590136e-11,47,5111,31675,2131,0,3,1,0,1
877,0,3251653128,1.2311557531356812,1.25,1.2512562274932861,1.2814069986343384,1.284610629081726,1.250588059425354,30.004371643066406,6.693509578704834,30.036163330078125,30.036163330078125,0.0015017417026683688,0.2230844795703888,0.018844246864318848,0.03335440158843994,0.03402256965637207,1.9445776544557702e-08,48,5491,31076,2131,0,3,1,1,1
887,0,3351565612,1.2311557531356812,1.25,1.2512562274932861,1.2814069986343384,1.2696106433868408,1.2500241994857788,33.80995559692383,7.311861991882324,33.888851165771484,33.888851165771484,0.0016944489907473326,0.2162635773420334,0.018844246864318848,0.018354415893554688,0.01958644390106201,1.3128655496075226e-08,49,5163,31556,2131,0,3,1,1,1
897,0,3451546402,1.2311557531356812,1.25,1.2512562274932861,1.2814069986343384,1.2546106576919556,1.249460220336914,29.599061965942383,6.262740135192871,29.698528289794922,29.698528289794922,0.0014847550773993134,0.21158576011657715,0.018844246864318848,0.0033544301986694336,0.005150437355041504,2.748535088414883e-08,50,5127,31354,2131,0,3,1,1,1
907,0,3551541289,1.2261306047439575,1.25,1.2512562274932861,1.2814069986343384,1.2500994205474854,1.2500994205474854,20.35947036743164,4.382690906524658,20.410083770751953,20.410083770751953,0.0010205567814409733,0.21526546776294708,0.02386939525604248,0.0011568069458007812,0.0,1.729149268214769e-08,51,5025,31724,2131,0,4,1,0,1
917,0,3651507120,1.2261306047439575,1.25,1.2512562274932861,1.2814069986343384,1.250400185585022,1.250400185585022,23.96391487121582,5.328166961669922,23.993762969970703,23.993762969970703,0.0011996012181043625,0.22234125435352325,0.02386939525604248,0.0008560419082641602,0.0,9.754580254650591e-09,52,4895,31723,2131,0,4,1,0,1
927,0,3751523463,1.2261306047439575,1.25,1.2512562274932861,1.2814069986343384,1.2500994205474854,1.2500994205474854,25.187061309814453,5.572412967681885,25.22314453125,25.22314453125,0.0012611090205609798,0.2212410867214203,0.02386939525604248,0.0011568069458007812,0.0,9.316741156339958e-09,53,4973,31711,2131,0,4,1,0,1
937,0,3851483249,1.2261306047439575,1.2500001192092896,1.2512562274932861,1.2814069986343384,1.2497986555099487,1.2497986555099487,25.24945831298828,5.372762680053711,25.328563690185547,25.328563690185547,0.0012663064990192652,0.21278724074363708,0.02386951446533203,0.0014575719833374023,0.0,6.398691354547736e-09,54,4786,31750,2131,0,4,1,0,1
947,0,3951618716,1.2261306047439575,1.25,1.2512562274932861,1.2814069986343384,1.249497890472412,1.249497890472412,22.114376068115234,4.727260112762451,22.177082061767578,22.177082061767578,0.0011088801547884941,0.21376411616802216,0.02386939525604248,0.0017583370208740234,0.0,1.653018522063121e-08,55,5359,31377,2131,0,4,1,0,1
957,0,4051621738,1.2261306047439575,1.25,1.2512562274932861,1.2814069986343384,1.250400185585022,1.250400185585022,20.212722778320312,4.477445602416992,20.24060821533203,20.24060821533203,0.0010120219085365534,0.2215162068605423,0.02386939525604248,0.0008560419082641602,0.0,3.67375534437997e-08,56,5391,31157,2131,0,4,1,0,1
